관리번호,정류장명,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
265000746,사암1리안길,,,,,,,
250001179,탑골,,,,,,,
250001180,군자리,,,,,,,
250001181,군자리,,,,,,,
250001182,군자3리,,,,,,,
250001183,군자3리,,,,,,,
250001184,군자3리,,,,,,,
250001185,군자3리,,,,,,,
250001186,부사원고개,,,,,,,
250001187,조양3리,,,,,,,
250001188,봉명리조양교,,,,,,,
250001189,전인고등학교,,,,,,,
265000723,삼천동사거리,,,,,,,
250001191,대형약국,,,,,,,
250001361,한샘고후문,,,,,,,
250001362,춘천한샘고등학교,,,,,,,
250001363,춘천한샘고등학교,,,,,,,
250001364,박물관후문,,,,,,,
250001365,박물관입구,,,,,,,
250001366,춘천박물관,,,,,,,
250001367,박물관앞,,,,,,,
250001368,춘천댐종점,,,,,,,
250001369,춘천댐종점,,,,,,,
250001370,춘천댐,,,,,,,
250001371,춘천농협,,,,,,,
250001372,춘천농협,,,,,,,
250001373,강원생명과학고,,,,,,,
250001374,강원생명과학고,,,,,,,
250001375,기계공고,,,,,,,
265000871,감정1리2반,,,,,,,
250001377,춘천기계공고,,,,,,,
250001378,기계공고,,,,,,,
250001380,지내고탄로,,,,,,,
250001381,지내고탄로,,,,,,,
250001382,춘천교도소입구,,,,,,,
250001383,춘천교도소입구,,,,,,,
250001384,춘천교도소,,,,,,,
250001385,교육대학교,,,,,,,
250001386,교육대학교,,,,,,,
265000750,수동1리마을회관,,,,,,,
265000749,수동1리마을회관,,,,,,,
265000751,사암4리,,,,,,,
250001391,추곡초교,,,,,,,
250001392,추곡초교,,,,,,,
250001393,추곡약수터,,,,,,,
250001394,추곡리2반,,,,,,,
250001395,추곡리2반,,,,,,,
250001396,북산치안센터,,,,,,,
250001397,북산치안센터,,,,,,,
250001398,추곡리,,,,,,,
250001399,추곡1리,,,,,,,
250001400,추곡리,,,,,,,
250027119,추곡3거리,,,,,,,
250001402,추곡1리3반,,,,,,,
250001403,추곡1리3반,,,,,,,
250001404,추곡1리1반,,,,,,,
250001405,추곡2리,,,,,,,
250001406,초원낚시터,,,,,,,
250001407,고탄낚시터,,,,,,,
250001408,청와A,,,,,,,
250001409,청실A,,,,,,,
250001410,청실A,,,,,,,
250001411,오항2리,,,,,,,
250001412,오항2리,,,,,,,
250001413,인형극장,,,,,,,
265000767,우두이지더원A,,,,,,,
250001415,청소년수련원,,,,,,,
265000766,파크에뷰A,,,,,,,
250001417,청구/동아A,,,,,,,
250001418,동아/청구A,,,,,,,
250001419,천전삼거리,,,,,,,
250001420,상천초등학교,,,,,,,
250001421,천전3리,,,,,,,
250001422,천전3리,,,,,,,
250026865,춘천국유림관리소,,,,,,,
250026864,춘천국유림관리소,,,,,,,
250001425,천전1리,,,,,,,
250001426,천전1리,,,,,,,
250001427,천일주유소,,,,,,,
250001428,강촌1리회관,,,,,,,
250001429,창촌중학교,,,,,,,
250001430,창촌2리마을회관,,,,,,,
250001431,창촌2리마을회관,,,,,,,
250001432,창촌3리종점,,,,,,,
250001433,창촌3리입구,,,,,,,
250001434,창촌3리입구,,,,,,,
250001435,방동1리,,,,,,,
250001436,방동1리,,,,,,,
250001437,방동1리,,,,,,,
250001438,방동1리,,,,,,,
250001439,방동1리,,,,,,,
250001440,방동1리,,,,,,,
250001441,방동1리,,,,,,,
250001442,방곡리,,,,,,,
250001443,방곡리,,,,,,,
250001444,방곡2리회관,,,,,,,
250001445,방곡2리회관,,,,,,,
250001709,고성2리(초설),,,,,,,
250001710,고탄리(성탄교앞),,,,,,,
250001711,안보1리,,,,,,,
250001712,안보1리,,,,,,,
265000764,바이오산업진흥원,,,,,,,
265000765,바이오산업진흥원,,,,,,,
250001716,거두리부영A,,,,,,,
250001717,성우오스타A,,,,,,,
250001718,거두1리마을회관,,,,,,,
250001719,거두1리마을회관,,,,,,,
250001720,거두2리마을회관,,,,,,,
250001721,거두2리,,,,,,,
250001722,거두2리,,,,,,,
250001723,거두2리,,,,,,,
250001724,거두2리,,,,,,,
250001725,거두1리,,,,,,,
250001726,거두1리,,,,,,,
250001727,탑동마을,,,,,,,
265000726,용산1리2반,,,,,,,
265000727,용산1리2반,,,,,,,
250001730,강촌입구,,,,,,,
250001731,강촌유원지,,,,,,,
250001732,강촌유원지,,,,,,,
265000732,금옥골체험장,,,,,,,
265000731,금옥골체험장,,,,,,,
250001735,강촌리,,,,,,,
250001736,강촌리,,,,,,,
250001737,강촌리,,,,,,,
250001738,강촌리,,,,,,,
250001739,강촌검문소,,,,,,,
250001740,강촌검문소,,,,,,,
250001741,강촌1리4반,,,,,,,
250001742,강촌1리4반,,,,,,,
250001743,폴리텍2캠퍼스,,,,,,,
250001744,거두1리,,,,,,,
250001745,거두1리,,,,,,,
250001746,강원일보,,,,,,,
250001747,강원대후문,,,,,,,
250001748,강원대후문,,,,,,,
250001749,강원대학병원,,,,,,,
250001750,강원대학병원,,,,,,,
250001751,춘천사회혁신센터,,,,,,,
250001752,병무청앞,,,,,,,
250001753,강동농협장학지점,,,,,,,
250001754,강동농협장학지점,,,,,,,
250001755,강원중학교,,,,,,,
250001756,강원고교,,,,,,,
250001757,애니고등학교,,,,,,,
250001758,애니고등학교,,,,,,,
250001759,춘천우체국,,,,,,,
250001760,감정2리마을회관,,,,,,,
250001761,감정2리3반,,,,,,,
265000715,감정2리,,,,,,,
250001763,감정2리,,,,,,,
265000730,감정1리마을회관,,,,,,,
250001767,가정중학교,,,,,,,
250001768,가정진료소,,,,,,,
250001769,가정리종점,,,,,,,
250001770,가정3리,,,,,,,
250001771,가정3리,,,,,,,
250001772,가정2리,,,,,,,
250001773,가정2리,,,,,,,
250001774,가정2리,,,,,,,
250001775,가정2리,,,,,,,
250001776,가정1리,,,,,,,
250001777,가정1리,,,,,,,
250001778,가재골,,,,,,,
265000705,가재골,,,,,,,
250001780,팔호광장,,,,,,,
250001781,팔호광장,,,,,,,
250001782,88공원,,,,,,,
250001783,(구)102보충대,,,,,,,
250001784,(구)102보충대,,,,,,,
250001785,신한은행후평동지점,,,,,,,
250001786,충인교회,,,,,,,
265000737,퇴계농공단지입구,,,,,,,
250001788,창촌3리약수터,,,,,,,
250001789,창촌3리약수터,,,,,,,
250001790,창촌3리,,,,,,,
250001791,창촌3리,,,,,,,
250001792,창촌3거리,,,,,,,
250001793,창촌3거리,,,,,,,
250001794,창촌1리,,,,,,,
250001879,기와집골,,,,,,,
250001880,장학1리,,,,,,,
250001881,장학1리,,,,,,,
250001882,춘천역육교앞,,,,,,,
250001883,호반요양병원,,,,,,,
250001884,호반요양병원,,,,,,,
250001885,인성병원,,,,,,,
250001886,소양로우체국,,,,,,,
250001887,인람종점,,,,,,,
250001888,인람리,,,,,,,
250001889,의암치안센터,,,,,,,
250001890,의암치안센터,,,,,,,
250001891,송암스포츠타운입구,,,,,,,
250001892,송암스포츠타운입구,,,,,,,
250001893,의암리본마을,,,,,,,
250001894,의암리본마을,,,,,,,
250001895,의암류인석유적지,,,,,,,
250001896,의암류인석유적지,,,,,,,
250001897,의암댐,,,,,,,
250001898,의암댐,,,,,,,
250001899,의암교차로,,,,,,,
265000702,의암,,,,,,,
250001901,의암,,,,,,,
250001902,열린공원,,,,,,,
250001903,은행나무공원,,,,,,,
250001904,강원테크노파크,,,,,,,
250001905,율문3리,,,,,,,
250001906,강원테크노파크,,,,,,,
250001907,율문1리,,,,,,,
250001908,율문1리,,,,,,,
250001909,천전2리,,,,,,,
250001910,천전2리,,,,,,,
250001911,육림랜드,,,,,,,
250001912,육림공원,,,,,,,
250001913,육림고개,,,,,,,
250001914,육림고개,,,,,,,
265000738,사암4리4반,,,,,,,
250001917,유포2리마을회관,,,,,,,
250001918,유포리회관,,,,,,,
250001919,유포3리입구,,,,,,,
250001920,유포3리입구,,,,,,,
250001921,유승한내들,,,,,,,
250001922,유승한내들,,,,,,,
265000772,솔밭공원,,,,,,,
250001924,윗샘밭종점,,,,,,,
250001925,위도입구,,,,,,,
250001926,위도입구,,,,,,,
250001927,월송3리종점,,,,,,,
250027152,월송2리입구,,,,,,,
250001929,월송2리,,,,,,,
250001930,월송1리,,,,,,,
250001931,월곡리종점,,,,,,,
250001932,월곡리,,,,,,,
250001933,월곡리,,,,,,,
265000739,사암4리4반,,,,,,,
250001935,샛강쉼터,,,,,,,
250001936,원평마을,,,,,,,
250001937,원평계곡,,,,,,,
250001938,원평계곡,,,,,,,
250001939,원창고개입구,,,,,,,
250001940,원창고개입구,,,,,,,
250001941,원창고개정상,,,,,,,
250001942,원창고개,,,,,,,
250001943,원창고개정상,,,,,,,
250001944,원창고개,,,,,,,
250001945,원창5리,,,,,,,
