우선순위,관리번호,정류장명,한낮승차,로드뷰URL,그늘,의자,조명,도착안내기,촬영시점(YYYY.MM),조사자,비고
144,250002190,삼천동사거리,126,"https://map.kakao.com/link/roadview/37.86983,127.70743",,,,,,,
145,250002147,석사교회,118,"https://map.kakao.com/link/roadview/37.85989,127.7446",,,,,,,
146,265000796,모아엘가비스타,117,"https://map.kakao.com/link/roadview/37.84188,127.75686",,,,,,,
147,265000797,모아엘가비스타,117,"https://map.kakao.com/link/roadview/37.84188,127.75712",,,,,,,
148,250001252,현암리,12,"https://map.kakao.com/link/roadview/37.88497,127.6836",,,,,,,
149,250001253,현암리,12,"https://map.kakao.com/link/roadview/37.8768,127.67753",,,,,,,
150,250001254,현암리,12,"https://map.kakao.com/link/roadview/37.87684,127.67772",,,,,,,
수요미확인,250001222,소주고개,,"https://map.kakao.com/link/roadview/37.76028,127.62688",,,,,,,
수요미확인,250001244,혈동2리마을회관,,"https://map.kakao.com/link/roadview/37.78797,127.68514",,,,,,,
수요미확인,250001245,혈동2리마을회관,,"https://map.kakao.com/link/roadview/37.78795,127.68526",,,,,,,
수요미확인,250001333,태봉,,"https://map.kakao.com/link/roadview/37.88758,127.68525",,,,,,,
수요미확인,250001004,당림삼거리,,"https://map.kakao.com/link/roadview/37.84118,127.61",,,,,,,
수요미확인,250001015,조양1리,,"https://map.kakao.com/link/roadview/37.75621,127.81157",,,,,,,
수요미확인,250001016,부사원고개,,"https://map.kakao.com/link/roadview/37.75151,127.82282",,,,,,,
수요미확인,250001024,지암리(4),,"https://map.kakao.com/link/roadview/37.97923,127.60395",,,,,,,
수요미확인,250001025,지암리(3),,"https://map.kakao.com/link/roadview/37.98281,127.61624",,,,,,,
수요미확인,250001030,고성2리용화산,,"https://map.kakao.com/link/roadview/37.99468,127.73535",,,,,,,
수요미확인,250001032,고성2리1반,,"https://map.kakao.com/link/roadview/37.99235,127.73044",,,,,,,
수요미확인,250001036,송암리(인삼밭),,"https://map.kakao.com/link/roadview/38.00113,127.68982",,,,,,,
수요미확인,250001037,솔바우농원,,"https://map.kakao.com/link/roadview/37.99578,127.68335",,,,,,,
수요미확인,250001041,솔바우농원,,"https://map.kakao.com/link/roadview/37.99585,127.68348",,,,,,,
수요미확인,250001045,인람리(하우스),,"https://map.kakao.com/link/roadview/37.99083,127.65946",,,,,,,
